modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T2FLAIR,1.5T_to_3T,3T,0009,lpips,2047515.8997354556,2434932.0151412273,2922789.7148233815,0.18538,0.13307,0.09636,0.09634,1.1892,1.0796
T2FLAIR,1.5T_to_5T,5T,0006,lpips,2579376.4101864705,2420833.8907549204,2299005.2186109903,0.12637,0.16177,0.10831,0.10825,0.9385,1.052
T2FLAIR,1.5T_to_5T,5T,0007,lpips,1688191.274516936,2398229.591461027,3437860.7689578496,0.30963,0.4414,0.09489,0.09486,1.4206,0.8054
T2FLAIR,1.5T_to_5T,5T,0009,lpips,2527380.254734841,2655490.342747965,2814392.0717861857,0.1046,0.09686,0.09292,0.09291,1.0507,1.0796
T2FLAIR,1.5T_to_7T,7T,0006,lpips,1119787.8394918877,871984.7931470441,717328.423282181,0.36035,0.41228,0.2311,0.23099,0.7787,1.052
T2FLAIR,1.5T_to_7T,7T,0007,lpips,724997.4960708675,514978.9360620487,382671.7109971353,0.45064,0.24745,0.20998,0.20993,0.7103,0.8054
T2FLAIR,1.5T_to_7T,7T,0009,lpips,1135597.254607401,681909.517624997,421776.31009726715,0.67742,0.80443,0.17077,0.1707,0.6005,1.0796
T2FLAIR,3T_to_0.1T,0.1T,0006,lpips,5205931.245748015,3385704.0432921243,2259008.3832891113,0.55408,1.00192,0.15898,0.15896,0.6504,1.302
T2FLAIR,3T_to_0.1T,0.1T,0007,lpips,5884795.3701808,3850420.687443112,2660831.9270433867,0.56346,1.06734,0.23061,0.2306,0.6543,1.3551
T2FLAIR,3T_to_0.1T,0.1T,0009,lpips,4588389.517601538,4023942.7464713026,3579186.2731723343,0.18287,0.46712,0.11849,0.11849,0.877,1.2761
T2FLAIR,3T_to_1.5T,1.5T,0006,lpips,4532801.662144359,4073419.7586423005,3704485.241900683,0.15626,0.45925,0.10885,0.10882,0.8987,1.302
T2FLAIR,3T_to_1.5T,1.5T,0007,lpips,5139862.599793711,3494262.2303879303,2403060.007326249,0.48032,0.99328,0.10704,0.10703,0.6798,1.3551
T2FLAIR,3T_to_1.5T,1.5T,0009,lpips,3995307.5509113553,3781230.5599374142,3614964.803524517,0.115,0.36076,0.10026,0.10024,0.9464,1.2761
T2FLAIR,3T_to_5T,5T,0006,lpips,3275943.015801676,2725329.414811404,2299005.2186109903,0.23251,0.5733,0.11751,0.11751,0.8319,1.302
T2FLAIR,3T_to_5T,5T,0007,lpips,3727164.8416896584,3557665.1554062297,3437860.7689578496,0.12023,0.43144,0.11051,0.1105,0.9545,1.3551
T2FLAIR,3T_to_5T,5T,0009,lpips,2890309.037053019,2836571.435069129,2814392.0717861857,0.10589,0.31626,0.1042,0.10419,0.9814,1.2761
T2FLAIR,3T_to_7T,7T,0006,lpips,1518664.603552609,1019633.8888037722,717328.423282181,0.52369,0.94208,0.21365,0.21364,0.6714,1.302
T2FLAIR,3T_to_7T,7T,0007,lpips,1772961.151074331,804376.7909656432,382671.7109971353,1.19545,1.95206,0.21527,0.21526,0.4537,1.3551
T2FLAIR,3T_to_7T,7T,0009,lpips,1375701.650526342,752843.9193258409,421776.31009726715,0.83175,1.32503,0.15233,0.15233,0.5472,1.2761
T2FLAIR,5T_to_0.1T,0.1T,0006,lpips,3715205.8647009255,2859939.3719023396,2259008.3832891113,0.33554,0.33268,0.15947,0.15939,0.7698,0.9975
T2FLAIR,5T_to_0.1T,0.1T,0007,lpips,5368064.853175123,3680952.2739864546,2660831.9270433867,0.50067,0.67393,0.22671,0.22671,0.6857,1.1325
T2FLAIR,5T_to_0.1T,0.1T,0009,lpips,4295008.000182995,3896025.6243823785,3579186.2731723343,0.15149,0.28002,0.11223,0.11221,0.9071,1.1413
T2FLAIR,5T_to_1.5T,1.5T,0006,lpips,3225152.950027288,3439535.706239285,3704485.241900683,0.11683,0.11811,0.09901,0.099,1.0665,0.9975
T2FLAIR,5T_to_1.5T,1.5T,0007,lpips,4608254.292086324,3314475.899905323,2403060.007326249,0.39889,0.57923,0.08923,0.08922,0.7192,1.1325
T2FLAIR,5T_to_1.5T,1.5T,0009,lpips,3717860.723624711,3653382.574243051,3614964.803524517,0.08491,0.18107,0.08306,0.08305,0.9827,1.1413
T2FLAIR,5T_to_3T,3T,0006,lpips,1822320.397449181,2400484.249120017,3201802.1028532293,0.264,0.26574,0.11138,0.11138,1.3173,0.9975
T2FLAIR,5T_to_3T,3T,0007,lpips,2699762.5234994357,3286717.3681122237,4039395.2516535604,0.20255,0.11937,0.09714,0.09713,1.2174,1.1325
T2FLAIR,5T_to_3T,3T,0009,lpips,2187048.1843098304,2517994.593561246,2922789.7148233815,0.15895,0.0906,0.09018,0.09018,1.1513,1.1413
T2FLAIR,5T_to_7T,7T,0006,lpips,967075.6055227612,816284.5971047395,717328.423282181,0.26881,0.26684,0.19871,0.1987,0.8441,0.9975
T2FLAIR,5T_to_7T,7T,0007,lpips,1467204.265015158,732934.8578224473,382671.7109971353,1.00174,1.25676,0.20789,0.20787,0.4995,1.1325
T2FLAIR,5T_to_7T,7T,0009,lpips,1211970.811095083,706920.99864304,421776.31009726715,0.72207,0.95768,0.14962,0.1496,0.5833,1.1413
T2FLAIR,7T_to_0.1T,0.1T,0006,lpips,2729558.0063007423,2419519.728377959,2259008.3832891113,0.25728,0.24016,0.22495,0.22457,0.8864,0.9629
T2FLAIR,7T_to_0.1T,0.1T,0007,lpips,1573250.4080801578,1962541.8700077797,2660831.9270433867,0.34078,0.52587,0.28271,0.2825,1.2474,0.6708
T2FLAIR,7T_to_0.1T,0.1T,0009,lpips,1678502.1144060793,2422472.5575006427,3579186.2731723343,0.33958,0.53965,0.15227,0.15219,1.4432,0.6872
T2FLAIR,7T_to_1.5T,1.5T,0006,lpips,2378915.850741874,2913738.485577336,3704485.241900683,0.26284,0.28403,0.19138,0.19124,1.2248,0.9629
T2FLAIR,7T_to_1.5T,1.5T,0007,lpips,1376127.9379607718,1792673.3528065127,2403060.007326249,0.28401,0.50682,0.16792,0.16776,1.3027,0.6708
T2FLAIR,7T_to_1.5T,1.5T,0009,lpips,1465727.1329210259,2278404.7948564733,3614964.803524517,0.38068,0.57028,0.14239,0.14237,1.5545,0.6872
T2FLAIR,7T_to_3T,3T,0006,lpips,1341032.1872477438,2039275.5546644493,3201802.1028532293,0.3808,0.40218,0.17737,0.17722,1.5207,0.9629
T2FLAIR,7T_to_3T,3T,0007,lpips,732963.2134222875,1692292.1690729882,4039395.2516535604,0.58614,0.72083,0.18089,0.18063,2.3088,0.6708
T2FLAIR,7T_to_3T,3T,0009,lpips,803257.3839636844,1519403.4085992733,2922789.7148233815,0.4849,0.64443,0.12916,0.12913,1.8916,0.6872
T2FLAIR,7T_to_5T,5T,0006,lpips,1684686.990082151,1939140.389415301,2299005.2186109903,0.21413,0.23466,0.17069,0.17049,1.151,0.9629
T2FLAIR,7T_to_5T,5T,0007,lpips,959792.0624349826,1789747.2426429398,3437860.7689578496,0.48784,0.65361,0.17096,0.17073,1.8647,0.6708
T2FLAIR,7T_to_5T,5T,0009,lpips,1030132.7425580587,1688231.332896307,2814392.0717861857,0.40781,0.59025,0.1301,0.13008,1.6388,0.6872
