modality,pair,subject,method,hf_ratio
T2W,5T_to_1.5T,0007,identite,2.076130077062917
T2W,5T_to_1.5T,0007,Vectorise,0.9975617261891574
T2W,5T_to_1.5T,0007,UNet,0.9027198283531116
T2W,5T_to_1.5T,0007,INR,0.7967821030907786
T2W,5T_to_1.5T,0009,identite,1.5883612046953532
T2W,5T_to_1.5T,0009,Vectorise,0.7272357366986768
T2W,5T_to_1.5T,0009,UNet,0.601724308911576
T2W,5T_to_1.5T,0009,INR,0.29286930846412546
T2W,5T_to_3T,0006,identite,0.8049259595068524
T2W,5T_to_3T,0006,Vectorise,0.36254739409118014
T2W,5T_to_3T,0006,UNet,0.338217162250386
T2W,5T_to_3T,0006,INR,0.08500064128858864
T2W,5T_to_3T,0007,identite,1.0372415949672904
T2W,5T_to_3T,0007,Vectorise,0.4809032637522834
T2W,5T_to_3T,0007,UNet,0.4494077534977274
T2W,5T_to_3T,0007,INR,0.1002252823121957
T2W,5T_to_3T,0009,identite,0.9317180609553749
T2W,5T_to_3T,0009,Vectorise,0.42195032550607836
T2W,5T_to_3T,0009,UNet,0.37735647183463256
T2W,5T_to_3T,0009,INR,0.06222975666858993
T2W,5T_to_7T,0006,identite,1.2483646759078402
T2W,5T_to_7T,0006,Vectorise,0.5221018795923369
T2W,5T_to_7T,0006,UNet,0.5648500067926459
T2W,5T_to_7T,0006,INR,0.16049943384179596
T2W,5T_to_7T,0007,identite,1.420322396809626
T2W,5T_to_7T,0007,Vectorise,0.5648608842414975
T2W,5T_to_7T,0007,UNet,0.6180795598281273
T2W,5T_to_7T,0007,INR,0.1328290706723057
T2W,5T_to_7T,0009,identite,1.209020183178392
T2W,5T_to_7T,0009,Vectorise,0.412003782311499
T2W,5T_to_7T,0009,UNet,0.4751919125637924
T2W,5T_to_7T,0009,INR,0.10945095410775224
T2W,7T_to_0.1T,0006,identite,3.5438703341450783
T2W,7T_to_0.1T,0006,Vectorise,1.3307045495426384
T2W,7T_to_0.1T,0006,UNet,1.4661285132740065
T2W,7T_to_0.1T,0006,INR,1.3145135262651146
T2W,7T_to_0.1T,0007,identite,1.5553751819761625
