modality,pair,subject,method,hf_ratio
T1W,5T_to_0.1T,0007,Vectorise,7.494997054437561
T1W,5T_to_0.1T,0007,UNet,8.814205965375452
T1W,5T_to_0.1T,0007,INR,7.664091042487359
T1W,5T_to_0.1T,0009,identite,29.159972473224236
T1W,5T_to_0.1T,0009,Vectorise,7.080276696229467
T1W,5T_to_0.1T,0009,UNet,8.499194486841423
T1W,5T_to_0.1T,0009,INR,9.38873389704744
T1W,5T_to_1.5T,0006,identite,3.969816125387138
T1W,5T_to_1.5T,0006,Vectorise,1.0502139598325528
T1W,5T_to_1.5T,0006,UNet,1.2092544071216806
T1W,5T_to_1.5T,0006,INR,1.2897179956499905
T1W,5T_to_1.5T,0007,identite,4.494032636172254
T1W,5T_to_1.5T,0007,Vectorise,1.2156606501241354
T1W,5T_to_1.5T,0007,UNet,1.3571366663341948
T1W,5T_to_1.5T,0007,INR,1.1243701562285833
T1W,5T_to_1.5T,0009,identite,5.197708836815478
T1W,5T_to_1.5T,0009,Vectorise,1.3716208294198171
T1W,5T_to_1.5T,0009,UNet,1.5558797942433213
T1W,5T_to_1.5T,0009,INR,1.444655609441793
T1W,5T_to_3T,0006,identite,2.1248615786652385
T1W,5T_to_3T,0006,Vectorise,0.6071899278510314
T1W,5T_to_3T,0006,UNet,0.6465880180949929
T1W,5T_to_3T,0006,INR,0.6608822393162304
T1W,5T_to_3T,0007,identite,2.7164034408036617
T1W,5T_to_3T,0007,Vectorise,0.8798440402084208
T1W,5T_to_3T,0007,UNet,0.9200363252833693
T1W,5T_to_3T,0007,INR,0.6899160212778767
T1W,5T_to_3T,0009,identite,2.5553322472893703
T1W,5T_to_3T,0009,Vectorise,0.7186306262652544
T1W,5T_to_3T,0009,UNet,0.7610526705565809
T1W,5T_to_3T,0009,INR,0.6522771903682871
T1W,5T_to_7T,0006,identite,1.8833678930839086
T1W,5T_to_7T,0006,Vectorise,0.6630685550522893
T1W,5T_to_7T,0006,UNet,0.6290222228367844
T1W,5T_to_7T,0006,INR,0.562853626418209
T1W,5T_to_7T,0007,identite,2.1500244867705844
T1W,5T_to_7T,0007,Vectorise,0.7745143379913304
T1W,5T_to_7T,0007,UNet,0.7491330456794496
T1W,5T_to_7T,0007,INR,0.4518844430365526
T1W,5T_to_7T,0009,identite,0.8842627967253276
T1W,5T_to_7T,0009,Vectorise,0.2777378879685194
T1W,5T_to_7T,0009,UNet,0.26500743681626443
T1W,5T_to_7T,0009,INR,0.2395042845187049
T1W,7T_to_0.1T,0006,identite,12.070091636428016
T1W,7T_to_0.1T,0006,Vectorise,3.5435340316312502
T1W,7T_to_0.1T,0006,UNet,4.2378047507177605
T1W,7T_to_0.1T,0006,INR,12.221829991147919
T1W,7T_to_0.1T,0007,identite,12.623258673028984
T1W,7T_to_0.1T,0007,Vectorise,2.526514823989017
T1W,7T_to_0.1T,0007,UNet,3.0374740183406193
T1W,7T_to_0.1T,0007,INR,10.843587830235235
T1W,7T_to_0.1T,0009,identite,32.17612655075415
T1W,7T_to_0.1T,0009,Vectorise,8.552182194491065
T1W,7T_to_0.1T,0009,UNet,11.660146881539617
T1W,7T_to_0.1T,0009,INR,11.531199249797227
T1W,7T_to_1.5T,0006,identite,2.0800520991188076
T1W,7T_to_1.5T,0006,Vectorise,0.660790352642447
T1W,7T_to_1.5T,0006,UNet,0.7478569892300075
T1W,7T_to_1.5T,0006,INR,1.6715639073062352
T1W,7T_to_1.5T,0007,identite,2.077630899343386
T1W,7T_to_1.5T,0007,Vectorise,0.43243095414676674
T1W,7T_to_1.5T,0007,UNet,0.49439544962851595
T1W,7T_to_1.5T,0007,INR,1.3914784160950633
T1W,7T_to_1.5T,0009,identite,5.866610267017144
T1W,7T_to_1.5T,0009,Vectorise,1.733919470020677
T1W,7T_to_1.5T,0009,UNet,2.1612332475156504
T1W,7T_to_1.5T,0009,INR,1.6957971686121172
T1W,7T_to_3T,0006,identite,1.1292277424243817
T1W,7T_to_3T,0006,Vectorise,0.37676448172951477
T1W,7T_to_3T,0006,UNet,0.4076697768277731
T1W,7T_to_3T,0006,INR,0.7095261772984323
T1W,7T_to_3T,0007,identite,1.2666132392034073
T1W,7T_to_3T,0007,Vectorise,0.2958327045288486
T1W,7T_to_3T,0007,UNet,0.3199278209915537
T1W,7T_to_3T,0007,INR,0.7039261698155543
T1W,7T_to_3T,0009,identite,2.8081039200345503
T1W,7T_to_3T,0009,Vectorise,0.9153709925019364
T1W,7T_to_3T,0009,UNet,1.03966666754872
T1W,7T_to_3T,0009,INR,0.7869331051011442
T1W,7T_to_5T,0006,identite,0.5294616945683558
T1W,7T_to_5T,0006,Vectorise,0.18661628934999758
T1W,7T_to_5T,0006,UNet,0.19121454308294106
T1W,7T_to_5T,0006,INR,0.2913896691696797
T1W,7T_to_5T,0007,identite,0.4629557205514104
T1W,7T_to_5T,0007,Vectorise,0.10761415926485478
T1W,7T_to_5T,0007,UNet,0.11005690073959024
T1W,7T_to_5T,0007,INR,0.2206145154734646
T1W,7T_to_5T,0009,identite,1.1048302588098469
T1W,7T_to_5T,0009,Vectorise,0.3912292339745094
T1W,7T_to_5T,0009,UNet,0.41312620876453326
T1W,7T_to_5T,0009,INR,0.28228255390566354
T2W,0.1T_to_1.5T,0006,identite,0.11400113040629353
T2W,0.1T_to_1.5T,0006,Vectorise,0.036982787172317406
T2W,0.1T_to_1.5T,0006,UNet,0.035259595340840715
T2W,0.1T_to_1.5T,0006,INR,0.3838190296283612
T2W,0.1T_to_1.5T,0007,identite,0.22556784162332433
T2W,0.1T_to_1.5T,0007,Vectorise,0.046195418855638805
T2W,0.1T_to_1.5T,0007,UNet,0.04388209226475184
T2W,0.1T_to_1.5T,0007,INR,0.5149251532537192
T2W,0.1T_to_1.5T,0009,identite,0.10791645157811046
T2W,0.1T_to_1.5T,0009,Vectorise,0.02465514726603759
T2W,0.1T_to_1.5T,0009,UNet,0.021376515353322047
