modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T1W,7T_to_3T,3T,0007,srclevel,1220101.2727145627,1530570.6817049433,2147316.1520779505,0.37767,0.37273,0.32533,0.32018,1.2545,1.0132
T1W,7T_to_3T,3T,0009,srclevel,68499.99417626139,407003.1883315964,3624040.6030706316,0.89123,0.94349,0.57681,0.5576,5.9417,0.5109
T1W,7T_to_5T,5T,0006,srclevel,938403.7191435578,651969.4050518929,482299.0247689652,0.49204,0.78803,0.24662,0.24605,0.6948,1.2313
T1W,7T_to_5T,5T,0007,srclevel,644116.7576859399,498310.7896385832,419208.730313553,0.3989,0.41053,0.28352,0.28146,0.7736,1.0132
T1W,7T_to_5T,5T,0009,srclevel,45173.02963117743,122066.169766397,416859.8667648289,0.72299,0.85385,0.45688,0.44969,2.7022,0.5109
T2W,0.1T_to_1.5T,1.5T,0006,srclevel,1219633.3289125757,1079741.8508898932,1053998.0622526873,0.32909,0.34766,0.30508,0.30486,0.8853,1.0403
T2W,0.1T_to_1.5T,1.5T,0007,srclevel,914013.7249413329,1020331.5099036662,1262138.848272205,0.32764,0.38737,0.31233,0.31042,1.1163,0.8471
T2W,0.1T_to_1.5T,1.5T,0009,srclevel,933034.953903243,900649.3928939304,941559.8851580386,0.27901,0.30514,0.27686,0.27665,0.9653,0.8364
T2W,0.1T_to_3T,3T,0006,srclevel,1101597.9687973976,1006488.5783750438,1047448.655702306,0.36042,0.37273,0.34938,0.34912,0.9137,1.0403
T2W,0.1T_to_3T,3T,0007,srclevel,796529.8649149925,911234.0250398081,1205000.389970746,0.38549,0.43952,0.36728,0.36485,1.144,0.8471
T2W,0.1T_to_3T,3T,0009,srclevel,856939.964397476,892699.0466083561,1037442.3052186009,0.32412,0.37206,0.32189,0.32168,1.0417,0.8364
T2W,0.1T_to_5T,5T,0006,srclevel,775832.5860831854,899893.4862584883,1191192.352619564,0.37469,0.36478,0.35177,0.35122,1.1599,1.0403
T2W,0.1T_to_5T,5T,0007,srclevel,523999.1634615713,688186.0539094534,1077761.0679211018,0.4573,0.51682,0.40174,0.39757,1.3133,0.8471
T2W,0.1T_to_5T,5T,0009,srclevel,575272.0136010337,613098.1057709112,752323.4874621978,0.36713,0.41436,0.3626,0.36196,1.0658,0.8364
T2W,0.1T_to_7T,7T,0006,srclevel,531919.184239987,760748.30522402,1244475.9123391546,0.45257,0.4367,0.35457,0.35345,1.4302,1.0403
T2W,0.1T_to_7T,7T,0007,srclevel,391216.34287442634,482864.9670240837,706741.0565468612,0.43254,0.4896,0.39587,0.38968,1.2343,0.8471
T2W,0.1T_to_7T,7T,0009,srclevel,479877.0326455686,610998.7259024784,870119.0455511197,0.38354,0.45953,0.32547,0.3246,1.2732,0.8364
T2W,1.5T_to_0.1T,0.1T,0006,srclevel,2186095.0573471542,2528948.148548741,3046546.1901859995,0.2395,0.26188,0.19927,0.19897,1.1568,0.9562
